predictor,label,Effect,NumDF,DenDF,ChiSq,FValue,ProbChiSq,ProbF,fdr_p
idbloodgroupcat,ALAT,predictorvalue,1,16857,1.39,1.39,0.2388839776,2.3890060E-01,0.6293618085
donorparity,ASAT,predictorvalue,2,15276,2.85,1.43,0.2403466599,2.4037864E-01,0.6298691566
meanstoragetime,ALP,predspline,2,6663,2.83,1.42,0.2428888797,2.4296187E-01,0.6332516916
meandonorhb,INR,predspline,2,27706,2.80,1.40,0.2463832982,2.4640075E-01,0.6388167567
timesincecat,LYMF,predictorvalue,3,1919,4.11,1.37,0.2496201084,2.4996499E-01,0.6446465633
meandonorhb,FIB,predspline,2,13552,2.76,1.38,0.2515704342,2.5160579E-01,0.6454808112
meanweekday,GLUKOS,predictorvalue,5,44587,6.58,1.32,0.2541780733,2.5420014E-01,0.6457819327
timesincecat,KREA,predictorvalue,3,50353,4.07,1.36,0.2543459652,2.5435901E-01,0.6457819327
idbloodgroupcat,MCV,predictorvalue,1,36785,1.27,1.27,0.2605563897,2.6056373E-01,0.6540732117
meandonorage,CO2,predspline,2,1071,2.68,1.34,0.2614189138,2.6185790E-01,0.6540732117
meanstoragetime,BE,predspline,2,20149,2.67,1.34,0.2630324164,2.6305570E-01,0.6540732117
meandonationtime,EOSINO,predspline,2,1913,2.65,1.32,0.2659069395,2.6615071E-01,0.6540732117
meanweekday,ALP,predictorvalue,5,6668,6.43,1.29,0.2666305056,2.6677442E-01,0.6540732117
meandonationtime,GT,predspline,2,7705,2.63,1.32,0.2683129175,2.6837318E-01,0.6540732117
meandonorage,MONO,predspline,2,1927,2.63,1.32,0.2681443518,2.6838531E-01,0.6540732117
meandonationtime,META,predspline,2,375,2.64,1.32,0.2678003453,2.6903704E-01,0.6540732117
timesincecat,GLUKOS,predictorvalue,3,44605,3.91,1.30,0.2711872088,2.7120146E-01,0.6540732117
timesincecat,HAPTO,predictorvalue,3,369,3.92,1.31,0.2701375942,2.7185650E-01,0.6540732117
meandonorage,ALP,predspline,2,6672,2.60,1.30,0.2722389687,2.7230803E-01,0.6540732117
numdoncat,NA,predictorvalue,4,46348,5.14,1.28,0.2736661812,2.7368329E-01,0.6541698113
donorparity,EGFR,predictorvalue,2,7812,2.57,1.28,0.2768769364,2.7693538E-01,0.6576287226
timesincecat,BILI_K,predictorvalue,3,4821,3.85,1.28,0.2776845579,2.7781458E-01,0.6576287226
numdoncat,BILI,predictorvalue,4,22361,5.05,1.26,0.2823307184,2.8236552E-01,0.6598221592
numdoncat,INR,predictorvalue,4,27928,5.05,1.26,0.2825955915,2.8262344E-01,0.6598221592
meanweekday,MONO,predictorvalue,5,1924,6.24,1.25,0.2840020492,2.8448178E-01,0.6606448839
idbloodgroupcat,ALB,predictorvalue,1,23054,1.13,1.13,0.2878674301,2.8787856E-01,0.663146081
meandonorsex,CO2,predictorvalue,1,1072,1.13,1.13,0.2880262582,2.8826554E-01,0.663146081
timesincecat,ALP,predictorvalue,3,6673,3.74,1.25,0.2906179026,2.9070925E-01,0.6656426784
